ship_mode,segment,region,category,quantity,discount,shipping_cost,order_priority,return
First Class,Corporate,Central Asia,Office Supplies,8,0.0,439.65,Medium,
Same Day,Consumer,Oceania,Office Supplies,3,0.1,18.75,Medium,
First Class,Corporate,Central Asia,Office Supplies,3,0.0,6.04,Medium,
Standard Class,Consumer,EMEA,Office Supplies,4,0.0,7.17,Medium,
Standard Class,Corporate,North,Technology,5,0.5,5.31,Medium,
Second Class,Corporate,EMEA,Office Supplies,6,0.0,443.55,Critical,
Standard Class,Home Office,Africa,Office Supplies,1,0.0,3.32,High,
Standard Class,Corporate,Southeast Asia,Office Supplies,5,0.15,2.58,Medium,
First Class,Corporate,Oceania,Technology,2,0.0,146.26,High,
Standard Class,Consumer,South,Furniture,2,0.2,0.3,Medium,
Second Class,Corporate,West,Furniture,5,0.15,140.75,High,Yes
Standard Class,Home Office,East,Office Supplies,5,0.0,10.51,Medium,Yes
Standard Class,Home Office,EMEA,Office Supplies,1,0.0,8.19,High,
Standard Class,Corporate,South,Technology,2,0.0,4.83,Medium,
Standard Class,Consumer,Central,Furniture,5,0.1,38.66,Medium,
Standard Class,Home Office,East,Technology,2,0.0,31.43,Medium,Yes
Second Class,Corporate,West,Office Supplies,2,0.0,1.18,High,Yes
Standard Class,Home Office,Africa,Office Supplies,1,0.0,9.34,Low,
Standard Class,Home Office,Central Asia,Furniture,1,0.0,4.03,Medium,
Standard Class,Corporate,South,Technology,4,0.0,45.31,Medium,
Second Class,Corporate,EMEA,Office Supplies,4,0.0,84.97,Medium,
Standard Class,Corporate,Central,Furniture,2,0.4,3.23,Medium,
Standard Class,Home Office,West,Technology,2,0.2,28.66,Medium,
Standard Class,Home Office,EMEA,Furniture,4,0.0,31.76,High,
Standard Class,Home Office,EMEA,Office Supplies,2,0.0,3.23,High,
Second Class,Corporate,West,Office Supplies,5,0.0,4.74,High,Yes
Standard Class,Home Office,East,Furniture,4,0.0,1.41,Medium,Yes
Standard Class,Corporate,South,Furniture,2,0.0,17.71,Medium,
Standard Class,Consumer,South,Office Supplies,2,0.0,1.36,Medium,
Same Day,Corporate,Central,Furniture,3,0.0,283.25,Critical,
Second Class,Corporate,West,Office Supplies,5,0.0,5.08,High,Yes
Standard Class,Home Office,Central Asia,Office Supplies,3,0.0,3.23,Medium,
Standard Class,Home Office,EMEA,Office Supplies,6,0.0,49.52,High,
Standard Class,Home Office,Africa,Furniture,6,0.0,20.64,Low,
Standard Class,Consumer,West,Office Supplies,2,0.2,1.06,Medium,
Standard Class,Home Office,Southeast Asia,Furniture,2,0.27,19.97,High,
Standard Class,Consumer,South,Technology,3,0.402,23.08,High,
Standard Class,Home Office,Southeast Asia,Office Supplies,2,0.47,0.36,High,
Standard Class,Consumer,Central,Office Supplies,3,0.1,119.53,Medium,
Standard Class,Consumer,West,Furniture,5,0.5,18.2,Medium,
Standard Class,Consumer,East,Technology,5,0.4,15.85,Medium,
Second Class,Corporate,EMEA,Furniture,2,0.0,6.26,High,
Standard Class,Consumer,South,Office Supplies,3,0.4,2.62,High,
Standard Class,Consumer,West,Furniture,2,0.2,14.7,Medium,
Standard Class,Home Office,Africa,Office Supplies,1,0.0,2.01,Medium,
Standard Class,Home Office,Southeast Asia,Furniture,8,0.07,492.28,High,
Second Class,Consumer,Africa,Office Supplies,1,0.0,2.99,High,
Same Day,Consumer,North,Furniture,2,0.4,7.74,Critical,
Standard Class,Consumer,West,Furniture,3,0.2,30.45,Medium,
Second Class,Consumer,EMEA,Furniture,1,0.6,10.03,Medium,
Standard Class,Consumer,Central,Furniture,2,0.1,37.05,Medium,
Standard Class,Home Office,Southeast Asia,Technology,1,0.17,7.11,High,
Standard Class,Consumer,East,Furniture,4,0.3,16.87,Medium,
Standard Class,Consumer,North Asia,Furniture,1,0.5,7.49,High,
Standard Class,Consumer,South,Office Supplies,11,0.7,1.17,High,
Standard Class,Consumer,Caribbean,Office Supplies,4,0.0,0.73,Medium,
Standard Class,Consumer,East,Office Supplies,2,0.2,0.79,Medium,
Standard Class,Consumer,West,Office Supplies,4,0.7,0.57,Medium,
Standard Class,Corporate,East,Office Supplies,2,0.0,0.42,Medium,
Standard Class,Consumer,Caribbean,Office Supplies,2,0.0,0.59,Medium,
First Class,Consumer,Central,Office Supplies,1,0.0,0.81,Medium,
Standard Class,Corporate,South,Office Supplies,4,0.6,3.47,High,
Standard Class,Corporate,Central,Office Supplies,2,0.0,67.58,High,
Second Class,Consumer,South,Furniture,3,0.6,11.16,Medium,
Second Class,Consumer,South,Technology,1,0.602,9.26,Medium,
Standard Class,Corporate,Central,Office Supplies,5,0.0,2.25,Medium,
Second Class,Consumer,Africa,Office Supplies,2,0.0,3.67,High,
Second Class,Consumer,North,Office Supplies,2,0.0,16.34,Critical,
Standard Class,Corporate,Central,Office Supplies,2,0.0,1.0,Medium,
Standard Class,Corporate,Central,Office Supplies,2,0.0,29.37,Medium,
Standard Class,Consumer,Caribbean,Furniture,5,0.0,41.94,Medium,
Standard Class,Consumer,EMEA,Office Supplies,8,0.0,29.31,Medium,
Standard Class,Corporate,Central,Furniture,3,0.0,21.09,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,6,0.27,263.01,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,2,0.47,1.44,High,
Standard Class,Corporate,South,Office Supplies,3,0.0,3.47,Medium,
Second Class,Home Office,South,Office Supplies,3,0.4,24.25,High,
Standard Class,Corporate,Central,Technology,3,0.0,34.65,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.17,10.22,High,
Standard Class,Corporate,South,Furniture,2,0.6,20.68,High,
Second Class,Consumer,South,Office Supplies,2,0.6,2.25,Medium,
Standard Class,Corporate,South,Furniture,2,0.0,0.88,Medium,
Second Class,Consumer,South,Furniture,5,0.6,107.47,Medium,
Second Class,Consumer,North,Technology,1,0.002,39.43,Critical,
Second Class,Consumer,Africa,Office Supplies,10,0.0,34.16,High,
Second Class,Consumer,South,Office Supplies,2,0.6,1.77,Medium,
Second Class,Consumer,North,Furniture,5,0.2,185.44,Critical,
Standard Class,Corporate,East,Furniture,4,0.0,13.81,Medium,
Standard Class,Corporate,South,Office Supplies,3,0.6,0.99,High,
Standard Class,Corporate,South,Office Supplies,4,0.0,6.86,Medium,
Second Class,Home Office,South,Furniture,2,0.4,32.07,High,
Second Class,Consumer,Africa,Office Supplies,2,0.0,10.53,High,
Standard Class,Corporate,East,Furniture,2,0.1,8.63,Medium,
Second Class,Consumer,North,Office Supplies,2,0.0,7.82,Critical,
Standard Class,Consumer,Central,Furniture,1,0.6,0.48,Medium,
Standard Class,Corporate,Africa,Office Supplies,2,0.0,5.1,Medium,
Standard Class,Consumer,Caribbean,Office Supplies,2,0.0,2.77,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,5,0.17,3.99,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,2,0.17,1.2,High,
Standard Class,Consumer,Central,Office Supplies,2,0.2,1.67,Medium,
Standard Class,Corporate,Africa,Technology,1,0.0,20.14,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,9.91,High,
Same Day,Consumer,Central,Office Supplies,2,0.0,9.37,Medium,
Standard Class,Consumer,Central Asia,Office Supplies,6,0.0,127.81,High,
Second Class,Consumer,Africa,Technology,1,0.0,4.75,High,
Second Class,Home Office,South,Technology,6,0.4,47.29,High,
Standard Class,Corporate,Central,Office Supplies,7,0.0,4.32,Medium,
Second Class,Consumer,North,Furniture,3,0.2,88.45,Critical,
Second Class,Corporate,West,Technology,9,0.2,245.6,High,
Second Class,Consumer,Central,Technology,9,0.0,116.58,Medium,
Standard Class,Home Office,East,Technology,6,0.4,21.08,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.6,4.09,Medium,
Second Class,Corporate,Central,Office Supplies,7,0.8,4.71,Critical,
Standard Class,Corporate,North,Office Supplies,2,0.0,4.11,Medium,
Standard Class,Consumer,South,Office Supplies,6,0.0,1.57,Medium,
Second Class,Consumer,Southeast Asia,Technology,4,0.25,39.99,Medium,
First Class,Consumer,Africa,Office Supplies,2,0.7,1.01,Critical,
Standard Class,Home Office,Oceania,Office Supplies,2,0.1,1.14,Medium,
Second Class,Consumer,Southeast Asia,Office Supplies,6,0.15,4.93,Medium,
Standard Class,Consumer,Central,Office Supplies,2,0.8,0.22,Medium,
Standard Class,Corporate,North,Furniture,8,0.4,15.74,Medium,
Second Class,Consumer,Central,Office Supplies,8,0.5,4.6,Critical,
Standard Class,Consumer,West,Office Supplies,3,0.2,5.77,High,
First Class,Home Office,North Asia,Technology,3,0.0,139.49,Critical,Yes
First Class,Consumer,Africa,Office Supplies,1,0.7,1.36,Critical,
Standard Class,Consumer,West,Furniture,2,0.2,16.17,High,
Standard Class,Consumer,Africa,Office Supplies,6,0.7,1.5,Low,
Second Class,Corporate,Central,Office Supplies,4,0.8,0.82,Critical,
Standard Class,Consumer,South,Office Supplies,6,0.0,4.48,Medium,
Standard Class,Consumer,South,Office Supplies,2,0.0,15.28,Medium,
Standard Class,Home Office,Southeast Asia,Technology,5,0.47,16.38,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,4.27,High,
Standard Class,Consumer,Africa,Office Supplies,2,0.7,2.66,Low,
First Class,Consumer,North,Office Supplies,3,0.0,5.73,Critical,
Standard Class,Home Office,East,Office Supplies,7,0.2,4.72,Medium,
First Class,Home Office,North Asia,Furniture,6,0.0,129.31,Critical,Yes
Standard Class,Consumer,Central,Furniture,4,0.3,2.94,High,Yes
Standard Class,Corporate,North,Office Supplies,2,0.0,0.7,Medium,
Standard Class,Consumer,West,Office Supplies,2,0.0,1.65,High,
Standard Class,Home Office,Oceania,Office Supplies,3,0.1,5.57,Medium,
Standard Class,Home Office,Southeast Asia,Furniture,2,0.37,42.63,Medium,
Standard Class,Corporate,North,Office Supplies,2,0.0,3.98,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,5,0.07,170.58,Medium,
Standard Class,Home Office,East,Office Supplies,3,0.7,2.02,Medium,
First Class,Home Office,EMEA,Office Supplies,2,0.0,4.58,High,
First Class,Home Office,North Asia,Technology,3,0.0,41.14,Critical,Yes
Standard Class,Corporate,North,Office Supplies,7,0.0,6.03,Medium,
Standard Class,Consumer,South,Office Supplies,3,0.0,1.22,Medium,
Standard Class,Corporate,North,Technology,4,0.002,23.5,Medium,
Standard Class,Consumer,East,Office Supplies,4,0.0,0.71,Medium,
Standard Class,Consumer,South,Furniture,5,0.0,0.31,Medium,
Second Class,Corporate,West,Office Supplies,2,0.0,0.18,High,
Standard Class,Consumer,South,Technology,4,0.0,20.19,Medium,
First Class,Consumer,North,Office Supplies,1,0.0,71.08,Critical,
Standard Class,Home Office,EMEA,Office Supplies,4,0.6,0.95,Medium,
Same Day,Consumer,West,Office Supplies,1,0.0,8.64,Critical,
First Class,Home Office,North Asia,Office Supplies,6,0.0,194.61,Critical,Yes
Second Class,Consumer,Central,Office Supplies,2,0.5,6.5,Critical,
Standard Class,Home Office,East,Office Supplies,1,0.0,0.73,Medium,
Same Day,Consumer,West,Technology,9,0.2,18.4,Critical,
First Class,Consumer,Africa,Office Supplies,1,0.7,12.87,Critical,
Standard Class,Corporate,North,Office Supplies,7,0.0,13.71,Medium,
Standard Class,Consumer,South,Furniture,3,0.0,12.01,Medium,
First Class,Consumer,North,Office Supplies,5,0.0,73.91,Critical,
First Class,Consumer,South,Office Supplies,4,0.7,0.85,Critical,
Standard Class,Corporate,EMEA,Technology,1,0.0,4.52,Medium,
Standard Class,Corporate,EMEA,Office Supplies,4,0.0,3.79,Medium,
First Class,Consumer,South,Furniture,2,0.7,30.51,Critical,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,2.93,Medium,
First Class,Corporate,Central Asia,Office Supplies,1,0.0,7.09,Critical,
Standard Class,Corporate,Southeast Asia,Office Supplies,4,0.15,4.98,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,1.19,Medium,
Standard Class,Consumer,North,Office Supplies,2,0.0,2.86,Medium,
Standard Class,Consumer,Oceania,Technology,4,0.1,37.68,High,
Standard Class,Consumer,North,Office Supplies,4,0.0,6.8,Medium,
First Class,Corporate,Central Asia,Furniture,3,0.0,25.39,Critical,
Standard Class,Corporate,East,Technology,3,0.0,2.61,Medium,
First Class,Consumer,North Asia,Furniture,4,0.0,62.54,High,Yes
First Class,Consumer,EMEA,Office Supplies,2,0.0,21.07,Critical,
First Class,Consumer,North Asia,Office Supplies,2,0.0,1.78,High,Yes
Standard Class,Corporate,Southeast Asia,Office Supplies,6,0.45,5.15,Medium,
Standard Class,Consumer,Central,Furniture,4,0.3,32.41,Medium,
Standard Class,Corporate,Africa,Office Supplies,6,0.0,7.3,Medium,
First Class,Consumer,North Asia,Office Supplies,3,0.0,2.77,High,Yes
First Class,Consumer,EMEA,Furniture,1,0.0,95.37,Critical,
Second Class,Consumer,Oceania,Office Supplies,5,0.1,223.43,High,
Standard Class,Consumer,Oceania,Technology,2,0.1,31.31,Medium,
Standard Class,Corporate,Africa,Technology,1,0.0,3.89,Medium,
First Class,Corporate,Central Asia,Office Supplies,3,0.0,12.3,Critical,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,0.49,Medium,
Second Class,Consumer,Oceania,Office Supplies,3,0.1,4.52,High,
First Class,Home Office,Central,Technology,5,0.0,142.18,Critical,
Standard Class,Home Office,North,Office Supplies,1,0.0,6.41,Low,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,0.19,Medium,
First Class,Consumer,West,Office Supplies,3,0.2,4.13,Critical,
Second Class,Consumer,Africa,Office Supplies,1,0.7,1.42,Medium,
First Class,Consumer,Oceania,Office Supplies,2,0.4,9.45,High,
Standard Class,Home Office,Central,Office Supplies,4,0.5,36.61,High,
Second Class,Consumer,North Asia,Office Supplies,2,0.0,7.46,High,Yes
Standard Class,Consumer,Central,Office Supplies,4,0.2,11.28,High,
Standard Class,Corporate,North Asia,Office Supplies,9,0.5,8.7,Medium,
Standard Class,Consumer,South,Office Supplies,3,0.6,19.56,Medium,
First Class,Consumer,Oceania,Office Supplies,4,0.4,0.23,High,
Second Class,Home Office,Central,Furniture,7,0.5,12.83,Medium,
Standard Class,Corporate,Central,Office Supplies,2,0.1,9.56,High,Yes
First Class,Consumer,EMEA,Office Supplies,2,0.6,4.22,High,
Standard Class,Home Office,Central,Furniture,3,0.0,18.02,High,
Second Class,Consumer,Central,Office Supplies,2,0.0,1.09,High,
Second Class,Home Office,Central,Office Supplies,2,0.5,0.91,Medium,
First Class,Home Office,South,Office Supplies,5,0.1,164.04,High,
Standard Class,Home Office,Central,Furniture,2,0.0,41.07,High,
Standard Class,Corporate,South,Office Supplies,5,0.0,2.21,Medium,
Standard Class,Consumer,EMEA,Furniture,14,0.0,54.89,Medium,
Standard Class,Home Office,EMEA,Furniture,1,0.6,5.91,Medium,
Second Class,Home Office,Central,Office Supplies,5,0.0,0.53,Medium,
Standard Class,Consumer,Africa,Office Supplies,4,0.0,30.21,High,
Standard Class,Corporate,South,Office Supplies,3,0.0,11.08,Medium,
Standard Class,Consumer,Oceania,Furniture,3,0.1,24.17,Medium,
Standard Class,Home Office,Central,Office Supplies,4,0.0,4.35,High,
Standard Class,Corporate,Central,Office Supplies,3,0.2,0.92,Medium,
Standard Class,Consumer,North,Furniture,2,0.2,20.18,Medium,
Second Class,Consumer,Central,Technology,5,0.0,14.03,High,
Standard Class,Consumer,South,Office Supplies,3,0.4,30.05,Medium,
Standard Class,Home Office,Central,Office Supplies,5,0.5,11.65,High,
First Class,Consumer,Oceania,Office Supplies,2,0.4,10.0,High,
First Class,Consumer,North,Office Supplies,2,0.0,2.62,Medium,
First Class,Home Office,South,Office Supplies,6,0.1,17.51,High,
Standard Class,Home Office,East,Office Supplies,3,0.2,0.23,Medium,
Standard Class,Corporate,East,Office Supplies,4,0.0,3.6,High,
Standard Class,Home Office,North,Technology,3,0.0,43.17,Low,
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,0.67,Medium,
Standard Class,Corporate,East,Office Supplies,3,0.2,1.12,Medium,
Standard Class,Home Office,Central,Office Supplies,3,0.5,11.94,High,
Standard Class,Home Office,Central,Technology,2,0.5,9.19,High,
Standard Class,Consumer,Oceania,Office Supplies,1,0.1,0.32,Medium,
First Class,Consumer,West,Office Supplies,9,0.0,7.82,Critical,
Second Class,Consumer,Africa,Office Supplies,1,0.0,3.66,Critical,
Second Class,Home Office,Central,Technology,4,0.5,34.82,Medium,
First Class,Consumer,Oceania,Office Supplies,6,0.4,2.43,High,
Standard Class,Consumer,North,Office Supplies,9,0.0,6.39,Medium,
Second Class,Consumer,North Asia,Technology,3,0.0,28.75,High,Yes
Standard Class,Corporate,Central,Technology,3,0.402,11.52,Medium,
Standard Class,Corporate,North,Office Supplies,5,0.0,60.53,Medium,
Standard Class,Corporate,Africa,Office Supplies,4,0.0,4.62,High,
First Class,Consumer,EMEA,Furniture,1,0.0,11.58,High,
Standard Class,Corporate,Africa,Office Supplies,4,0.0,88.88,Medium,
Standard Class,Consumer,Central,Office Supplies,7,0.4,9.74,Medium,
Standard Class,Corporate,Africa,Office Supplies,4,0.0,6.08,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,4,0.45,3.15,High,
Standard Class,Consumer,Central,Office Supplies,5,0.4,2.58,Medium,
Standard Class,Consumer,North,Office Supplies,5,0.0,13.83,Medium,
Second Class,Corporate,Oceania,Office Supplies,5,0.1,0.97,Medium,
Standard Class,Consumer,North,Office Supplies,4,0.0,1.97,Medium,
Standard Class,Corporate,EMEA,Office Supplies,2,0.6,0.68,Medium,
First Class,Consumer,EMEA,Office Supplies,2,0.0,1.15,High,
First Class,Home Office,Central,Office Supplies,4,0.0,21.99,Critical,
Standard Class,Corporate,Africa,Office Supplies,6,0.0,16.45,High,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,7.99,High,
Standard Class,Consumer,Central,Furniture,3,0.7,18.27,Medium,
Standard Class,Consumer,Africa,Furniture,1,0.0,5.87,Medium,
Standard Class,Corporate,Africa,Office Supplies,2,0.0,7.36,High,
Same Day,Corporate,West,Technology,5,0.2,630.05,High,
Standard Class,Corporate,Central,Furniture,5,0.1,170.61,High,
Second Class,Corporate,South,Furniture,7,0.4,14.1,Medium,
Second Class,Consumer,East,Office Supplies,5,0.2,44.66,Medium,
Standard Class,Corporate,Caribbean,Technology,3,0.2,28.28,High,
Standard Class,Corporate,Oceania,Furniture,2,0.4,28.53,Medium,
Standard Class,Home Office,Central,Office Supplies,5,0.1,31.96,High,
Second Class,Consumer,East,Office Supplies,4,0.2,1.79,Medium,
Same Day,Consumer,South,Office Supplies,5,0.4,8.35,High,
Second Class,Home Office,Central,Furniture,3,0.0,19.02,Medium,
Standard Class,Consumer,South,Office Supplies,3,0.0,7.23,Medium,
First Class,Corporate,North Asia,Furniture,7,0.0,50.51,High,Yes
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,7.95,Medium,
Second Class,Consumer,East,Furniture,4,0.2,1.67,Medium,
Standard Class,Consumer,South,Furniture,5,0.0,6.3,Medium,
Standard Class,Home Office,Southeast Asia,Office Supplies,3,0.47,2.0,Medium,
Standard Class,Consumer,East,Office Supplies,1,0.2,0.6,High,
Standard Class,Consumer,Central,Office Supplies,7,0.0,1.26,Medium,
Standard Class,Consumer,EMEA,Office Supplies,4,0.0,2.35,Medium,
Standard Class,Consumer,EMEA,Technology,14,0.0,71.37,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,1.12,Medium,
First Class,Home Office,Central,Furniture,6,0.3,56.12,High,
Standard Class,Consumer,EMEA,Office Supplies,4,0.0,3.47,Medium,
Standard Class,Consumer,EMEA,Furniture,2,0.0,12.37,Medium,
Second Class,Corporate,Southeast Asia,Office Supplies,2,0.45,0.18,Medium,
Standard Class,Home Office,Central,Office Supplies,3,0.0,4.39,High,
Second Class,Consumer,East,Office Supplies,3,0.2,2.8,Medium,
Second Class,Consumer,East,Furniture,1,0.4,11.64,Medium,
Standard Class,Home Office,Central,Office Supplies,5,0.0,4.72,High,
Second Class,Corporate,Southeast Asia,Furniture,3,0.25,0.45,Medium,
Standard Class,Corporate,EMEA,Office Supplies,1,0.0,1.89,Medium,
First Class,Corporate,North Asia,Office Supplies,2,0.0,15.94,High,Yes
Second Class,Home Office,Central,Office Supplies,4,0.0,1.04,Medium,
Standard Class,Consumer,Central,Furniture,2,0.0,56.63,High,
Standard Class,Corporate,Southeast Asia,Office Supplies,2,0.17,8.2,Medium,
First Class,Corporate,Central Asia,Office Supplies,2,0.0,15.16,High,
Standard Class,Corporate,West,Furniture,3,0.2,35.2,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.0,22.31,High,
Standard Class,Corporate,Southeast Asia,Office Supplies,2,0.47,1.31,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,2,0.17,6.0,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,2,0.17,31.61,Medium,
Standard Class,Consumer,Central,Technology,7,0.0,11.03,High,
Standard Class,Corporate,West,Technology,5,0.0,110.23,Medium,
Standard Class,Corporate,Central,Technology,2,0.15,14.77,High,
Standard Class,Corporate,Southeast Asia,Office Supplies,3,0.47,2.48,Medium,
First Class,Home Office,Africa,Office Supplies,1,0.0,4.66,Medium,
Second Class,Corporate,South,Technology,3,0.002,42.8,Medium,
Standard Class,Consumer,EMEA,Furniture,2,0.0,9.92,Medium,
Second Class,Corporate,Africa,Office Supplies,1,0.0,0.74,Critical,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,4.04,Medium,
Second Class,Corporate,Africa,Office Supplies,1,0.0,1.27,Critical,
Standard Class,Home Office,South,Technology,2,0.0,19.98,Medium,Yes
Second Class,Consumer,West,Furniture,3,0.0,2.35,Medium,
Second Class,Consumer,South,Furniture,3,0.2,8.53,High,
Second Class,Consumer,South,Technology,4,0.0,74.83,Medium,
First Class,Home Office,Africa,Technology,2,0.0,29.7,Medium,
Standard Class,Consumer,South,Office Supplies,2,0.0,10.1,Medium,
Standard Class,Consumer,South,Office Supplies,6,0.0,5.68,Medium,
Second Class,Corporate,Oceania,Office Supplies,2,0.4,6.44,High,
Same Day,Consumer,Caribbean,Technology,3,0.2,23.71,Critical,
Second Class,Consumer,West,Technology,5,0.0,0.75,Medium,
First Class,Consumer,Central,Furniture,3,0.35,69.34,Critical,
First Class,Corporate,Oceania,Office Supplies,2,0.4,2.82,Critical,
Standard Class,Home Office,EMEA,Technology,6,0.0,38.48,Medium,
First Class,Home Office,Africa,Office Supplies,4,0.0,0.33,Medium,
Second Class,Corporate,Africa,Technology,1,0.0,7.19,Critical,
Second Class,Corporate,Africa,Office Supplies,1,0.0,14.92,Critical,
Standard Class,Consumer,East,Technology,8,0.0,50.55,Medium,
Second Class,Corporate,Oceania,Furniture,2,0.4,46.63,High,
Same Day,Consumer,Caribbean,Office Supplies,9,0.2,6.73,Critical,
Second Class,Consumer,West,Office Supplies,2,0.0,1.16,Medium,
Second Class,Consumer,West,Office Supplies,4,0.0,1.58,Medium,
Second Class,Consumer,North,Office Supplies,7,0.0,12.06,Medium,
First Class,Corporate,South,Office Supplies,2,0.0,19.28,Critical,
First Class,Home Office,Africa,Office Supplies,1,0.0,0.42,Medium,
Standard Class,Consumer,South,Office Supplies,6,0.0,4.98,Medium,
First Class,Consumer,Central,Office Supplies,4,0.0,57.32,Critical,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,3.82,Medium,
Standard Class,Consumer,EMEA,Technology,1,0.0,29.36,High,
Second Class,Consumer,North,Office Supplies,5,0.0,15.27,Medium,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,2.97,Medium,
Standard Class,Consumer,East,Furniture,1,0.0,0.8,Medium,
Same Day,Consumer,North Asia,Office Supplies,3,0.0,14.16,Critical,Yes
Second Class,Consumer,South,Furniture,4,0.2,19.75,Medium,
Same Day,Home Office,EMEA,Office Supplies,1,0.0,1.34,High,
Standard Class,Consumer,South,Furniture,1,0.0,12.03,Medium,
Same Day,Consumer,Caribbean,Office Supplies,5,0.2,28.82,Critical,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,4.46,Medium,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,0.23,Medium,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,2.02,Medium,
Second Class,Consumer,EMEA,Office Supplies,6,0.0,12.1,Medium,
Second Class,Home Office,North,Technology,3,0.002,39.83,High,
First Class,Corporate,EMEA,Office Supplies,1,0.0,0.64,Medium,
First Class,Corporate,EMEA,Office Supplies,1,0.0,1.74,Medium,
Standard Class,Corporate,Central,Technology,3,0.0,6.9,Medium,
Standard Class,Home Office,North,Office Supplies,4,0.0,44.22,Medium,
Second Class,Corporate,North,Technology,2,0.0,55.66,Critical,
First Class,Corporate,EMEA,Office Supplies,1,0.0,4.22,Medium,
First Class,Home Office,North Asia,Technology,2,0.0,44.59,High,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,2.81,High,
Standard Class,Consumer,EMEA,Technology,2,0.0,18.0,Medium,
Standard Class,Corporate,Southeast Asia,Technology,4,0.17,90.47,High,
Second Class,Consumer,EMEA,Technology,4,0.0,59.5,High,
First Class,Corporate,EMEA,Office Supplies,1,0.0,3.82,Medium,
Standard Class,Corporate,Central,Technology,1,0.15,21.69,Medium,
Standard Class,Consumer,Oceania,Technology,4,0.0,16.18,Medium,
Second Class,Consumer,EMEA,Technology,6,0.0,21.54,High,
Standard Class,Corporate,North Asia,Office Supplies,7,0.0,27.16,Medium,
First Class,Corporate,EMEA,Office Supplies,1,0.0,1.78,Medium,
Second Class,Consumer,Southeast Asia,Office Supplies,2,0.47,4.12,Medium,
Standard Class,Home Office,Canada,Office Supplies,1,0.0,2.4,Medium,
Standard Class,Corporate,West,Office Supplies,4,0.2,1.08,High,
Standard Class,Corporate,Central,Office Supplies,3,0.4,0.82,Medium,
Standard Class,Corporate,Central,Office Supplies,1,0.4,4.27,Medium,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,6.45,High,
Standard Class,Corporate,West,Office Supplies,1,0.0,1.62,High,
Standard Class,Consumer,EMEA,Furniture,1,0.6,13.64,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.0,1.37,Medium,
Same Day,Home Office,Southeast Asia,Office Supplies,3,0.0,24.35,High,
Standard Class,Corporate,Southeast Asia,Technology,7,0.07,187.29,High,
Second Class,Consumer,Southeast Asia,Technology,5,0.17,23.67,Medium,
Same Day,Home Office,Southeast Asia,Furniture,8,0.0,128.44,High,
Standard Class,Consumer,South,Office Supplies,2,0.0,1.97,Medium,
Standard Class,Corporate,Central,Office Supplies,5,0.1,16.72,Medium,
Standard Class,Corporate,West,Technology,4,0.2,144.85,High,
Second Class,Corporate,North,Office Supplies,2,0.0,5.9,Critical,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,5.4,High,
First Class,Consumer,North,Technology,4,0.0,88.51,High,
Standard Class,Corporate,North,Office Supplies,2,0.0,2.62,Medium,
Standard Class,Consumer,Central,Technology,2,0.0,13.92,Medium,
Standard Class,Home Office,Central,Office Supplies,1,0.4,1.11,Low,
Standard Class,Corporate,Central,Technology,1,0.2,1.68,Medium,
Standard Class,Consumer,West,Technology,3,0.0,6.33,Medium,
Second Class,Consumer,East,Office Supplies,9,0.0,14.84,High,
Second Class,Consumer,Africa,Office Supplies,4,0.0,1.34,Medium,
Standard Class,Home Office,North,Furniture,1,0.0,3.1,Medium,
Standard Class,Home Office,South,Office Supplies,7,0.0,5.93,Medium,
First Class,Corporate,South,Furniture,2,0.0,20.03,High,
Second Class,Corporate,EMEA,Office Supplies,4,0.0,11.71,High,
Standard Class,Consumer,Central,Furniture,4,0.0,24.56,Medium,
